Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
2/13/2006,18.9,0.4,1,0,0,33.992,5.57
2/11/2006,18.61,0.42,1,0,0,34.114,5.58
2/12/2006,18.33,0.2,1.1,0,0,34.021,5.62
2/10/2006,17.16,0.42,2,0,0,33.855,5.53
2/9/2006,14.36,0.75,5.8,0.02,3.3,33.725,4.92
2/8/2006,12.06,1.46,16.2,0.02,16.4,33.627,3.3
2/7/2006,11.48,1.99,25.9,0.02,23.2,33.561,2.04
2/4/2006,13.1,0.3,1,0,0,33.521,7.42
2/4/2006,13.1,0.3,1,0,0,33.521,7.42
2/5/2006,12.89,0.28,1,0,0,33.573,7.58
2/6/2006,12.87,0.28,1,0,0,33.579,7.6
2/7/2006,10.21,1.82,11,0.11,13.9,33.74,4.07
4/1/2006,9.73,2.1,23,0.13,20.6,33.79,3.54
4/2/2006,9.12,2.15,34,0.19,26,33.865,2.82
4/3/2006,9.11,2.17,34.5,0.19,26,33.868,2.79
4/4/2006,8.93,2.46,42,0.25,26.7,33.92,2.23
4/5/2006,13.45,0.77,1,0.12,5.7,33.547,6.42
4/5/2006,13.45,0.77,1,0.12,5.7,33.547,6.42
4/6/2006,13.43,0.77,1,0.13,5.7,33.546,6.36
4/6/2006,13.43,0.77,1,0.13,5.7,33.546,6.35
4/7/2006,12.47,0.89,3.8,0.11,6.3,33.553,6.18
4/7/2006,10.02,1.79,23,0.16,17.9,33.652,3.93
4/8/2006,9.36,1.99,30.6,0.14,24,33.677,3.39
4/8/2006,8.77,2.01,33.4,0.06,25.4,33.704,3.07
4/9/2006,8.42,2.04,36.1,0.03,26.5,33.732,2.92
4/9/2006,8.26,2.12,39.6,0.02,27.4,33.76,2.8
4/10/2006,7.84,2.34,45.8,0.01,29.1,33.821,2.25
4/10/2006,13.56,0.5,0,0.12,5.5,33.339,6.68
4/11/2006,13.57,0.5,0,0.11,5.4,33.339,6.7
4/11/2006,13.51,0.5,0.1,0.11,5.5,33.338,6.7
4/12/2006,12.74,0.61,1.2,0.13,6.3,33.336,6.73
4/12/2006,11.82,0.8,2,0.16,6.9,33.343,6.75
4/13/2006,11.56,0.9,4.5,0.17,8.3,33.348,6.51
4/14/2006,9.47,1.76,27.5,0.23,21.2,33.393,4.12
4/15/2006,8.68,1.93,34.8,0,25.3,33.514,3.04
4/16/2006,8.43,2.06,38.1,0,26.3,33.579,2.81
4/17/2006,8.16,2.19,41.4,0,27.3,33.647,2.66
4/18/2006,13.5,0.58,2,0.01,5.1,33.341,6.39
7/24/2006,13.4,0.58,3,0.02,5.1,33.34,6.52
7/23/2006,11.95,0.88,9.2,0.03,9.2,33.393,6.27
7/22/2006,10.47,1.21,16,0.04,14,33.488,5.86
7/20/2006,10.39,1.23,16.6,0.04,14.4,33.489,5.8
7/21/2006,9.41,1.78,29.9,0.14,24.4,33.557,4.24
7/19/2006,8.93,1.88,32.3,0.04,26.2,33.596,3.72
7/18/2006,8.5,1.97,35.7,0,28,33.636,3.25
7/15/2006,8.23,2.06,39.7,0,29.8,33.677,2.88
7/16/2006,7.95,2.28,45.8,0,32.9,33.762,2.12
7/17/2006,15.86,0.3,2,0,0.6,32.813,6.29
7/14/2006,15.86,0.3,2,0,0.6,32.813,6.29
7/13/2006,15.85,0.3,2,0.01,0.1,32.811,6.3
7/12/2006,15.85,0.3,2,0.01,0,32.811,6.3
7/8/2006,15.85,0.3,2,0.01,0,32.835,6.37
7/9/2006,15.84,0.3,2,0.01,0,32.872,5.78
7/10/2006,12.35,0.28,2.1,0.01,0,32.931,6.47
7/11/2006,10.84,0.33,2.9,0.02,0,33.005,6.16
10/21/2006,10.13,0.6,6.7,0.04,5.3,33.078,5.6
10/22/2006,9.54,0.95,13.6,0.03,12.2,33.151,5.08
10/23/2006,15.6,0.39,3,0,1.4,33.39,6.29
10/24/2006,14.45,0.3,4,0,3.1,33.416,6.4
10/25/2006,12.98,0.56,6.2,0.08,6.3,33.441,6.23
10/26/2006,11.63,0.9,9.4,0.18,9.9,33.475,6.01
10/27/2006,10.3,1.24,18,0.25,16.1,33.561,4.77
10/28/2006,10.29,1.26,18.3,0.24,16.4,33.562,4.71
